"date","symbol","rank","buytext","buypoint"
"03/17/14","FLT","49","Slips5% under 124.06entry of unusualbase; tests 10-wk.","124.06"
"03/17/14","SHPG","47","Gainfrom breakout past139.94 cutto 10%; tests10-weekline.","139.94 "
"03/17/14","BWLD","33","Formshandlewith buy pointat152.01.","152.01"
"03/17/14","ALK","36","Extended16%past 78.63flat-basebuy point.","78.63"
"03/17/14","ALGN","39","Nonew entry yet;still tryingto locatea newbottom.",
"03/17/14","GRFS","42","Reboundoff10-weekline losingsteam.",
"03/17/14","ADS","45","Nearlyback to10-week line, asrebound fades.",
"03/17/14","YY","48","Extendedafter breakout past56.85buy pt,10-wkpullbacks.","56.85"
"03/17/14","OPEN","50","Reversesto3% under 84.35buypoint ofdouble-bottom base.","84.35"
"03/18/13","FLT","1","Sketchesthree-weeks-tight patternwith potential73 entry.",
"03/18/13","CELG","4","Ends8-weekhold rule, nosell signals; hitsnew high.",
"03/18/13","AIRM","7","Extendedafter solidrebound offrising10-weekaverage.",
"03/18/13","LL","2","Bestentryfrom bounce off10-weekline isgonenow.",
"03/18/13","OCN","5","Losingground aftersecond breakoutpast 39.35buypoint.","39.35"
"03/18/13","MDCO","8","3%over 30.97buy pointin4-weeks-tightpattern.","30.97"
"03/18/13","GMCR","3","Extendedfrom bounceoff 10-week;heap ofoverhead supply.",
"03/18/13","WLK","6","Clearsflatbasein lighttrade;3% past94.16buy point.","94.16"
"03/18/13","CVLT","9","Breaksout offlat base.Up 5% from 79.63buypoint.","79.63"
"03/18/13","ALK","10","Extended,at new highafter 6 week run-upfrom 10-weekline.",
"03/18/13","SLCA","13","Formsyear-long,deep cup with handle.Back at21.60entry.","21.60"
"03/18/13","HTZ","11","Extended,near high, aftersupport near 10-weekline.",
"03/18/13","CAR","14","12%past25.07buy pointin3-weeks-tightpattern.","25.07"
"03/18/13","GRFS","12","Extendedafter reboundoff 10-weekmoving average.",
"03/18/13","XXIA","15","Extended34%above 16.23cup-with-handleentry.","16.23"
"03/18/13","POL","16","Successfulrebound from2nd testof 10-week sincebreakout.",
"03/18/13","MX","19","Backbelow16.90 flatbasebuy point;prior breakout failed.","16.90 "
"03/18/13","WDC","22","Justpast49.60flat-baseentry. Weak volume onbreakout.","49.60"
"03/18/13","PRLB","25","Gainsfrom rebound off10-weekmoving averagefading.",
"03/18/13","ABG","28","Extendedand at newhigh afterbounce off10-weekline.",
"03/18/13","AWAY","17","Extended10%above 27.57buy pointfrom five-month cup base.","27.57"
"03/18/13","ARMH","20","Slipsunder 10-weekline inlightvolume;extended.",
"03/18/13","OPEN","23","Extended9% over 56.05buypt; breakout from flatbase.","56.05"
"03/18/13","ARUN","26","Offhighs,but still 6%past 24.25entryin cupwith handle.","24.25"
"03/18/13","WDR","29","28%past33.64buy ptbut inbuyrange from 10-wkrebound.","33.64"
"03/18/13","RGR","18","Fallsunder56.27 entry,but gets supportat 10-weekline.","56.27 "
"03/18/13","EVR","21","Well-extendedfrom Dec. 14breakout. No sell signals.",
"03/18/13","TRIP","24","Extendedfrom 47.10buy pointand support at10-weekline.","47.10"
"03/18/13","VRX","27","4%above its10-weekline after bounceoffthatkeylevel.",
"03/18/13","WOR","30","Supportat10-week lineafter light-volumedip from new high.",
"03/18/13","MPC","31","47%past60.01buy ptafterbreakout from cup w/handle base.","60.01"
"03/18/13","JAH","34","Extended14%past 55.87buypoint inflatbase.","55.87"
"03/18/13","UHS","37","Almost6% over58.67buy pointinfour-weeks-tight pattern.","58.67"
"03/18/13","BCEI","40","13%extendedpast3-weeks-tight pattern,35.35 entry.","35.35 "
"03/18/13","UTHR","43","3%above 59.10entry;14%pastpossible 55handlebuy point.","59.10"
"03/18/13","CI","47","16%above53.85flat-base entryafter 10-weektest.","53.85"
"03/18/13","EMN","32","Testingsupport at10-weekavgafter pullbackfrom new high.",
"03/18/13","HCA","35","Shapessecond-stage flatbasewith buy pointat39.70.","39.70"
"03/18/13","CVI","38","Slipsbelow56.73 three-weeks-tightentry;10-weektest.","56.73 "
"03/18/13","AXLL","41","Extendedafter reboundingfrom 10-weekline.",
"03/18/13","MYL","44","Ralliesoff10-weekline tonew high.",
"03/18/13","FMX","46","Supportat10-week lineafter runfrom 98.20 buypoint.","98.20 "
"03/18/13","STX","49","Formingnew baseafter Januarybreakout fails.",
"03/18/13","BLK","33","Bouncesoff supportnear 10-weekaverage, hitsnew high.",
"03/18/13","GNRC","36","Breaksbelow 10-weekline afterbasebreakout fails.",
"03/18/13","JAZZ","39","2%over 58.09buy point;breakout from cup-with-handle base.","58.09"
"03/18/13","NSR","42","Justabove10-week line, butbelow 45.593-wks-tightentry.","45.593"
"03/18/13","SWI","45","Rises4% from 57.77buypoint froma flatbase.","57.77"
"03/18/13","SSYS","48","Gets supportat 40-weekline;forming basenextto base.",
"03/18/13","OAS","50","Formsflatbase slightlyabove longconsolidation.",
"03/19/12","AAPL","1","Extended37%past 427.85entry;reversed loweras ithit600","427.85"
"03/19/12","GNC","4","Near33.80buy pointinfour-weeks-tightpattern.","33.80"
"03/19/12","PCLN","7","Newhigh inmildtrade;23% past549.10 buypoint.","549.10 "
"03/19/12","ALXN","2","Lessthan 2%past87.73 buypointin 3-weeks-tightpattern.","87.73 "
"03/19/12","KORS","5","Stillnobuy areainsight for red-hotnew issue.",
"03/19/12","ULTA","8","Extendedfrom cup base; new highsinhealthy trade.",
"03/19/12","LULU","3","7%past67.32entry inthree-weeks-tight pattern.","67.32"
"03/19/12","LQDT","6","Extended10%past 39.86buypoint from irregular pattern.","39.86"
"03/19/12","QCOR","9","Spendinga lot oftime below the10-weekline.",
"03/19/12","SWI","10","Extended12%past 33.78buypoint, only4% offhigh.","33.78"
"03/19/12","BWLD","13","Downsidereversal,but still holdingwell from recentrun.",
"03/19/12","INVN","11","Extendedafter strong reboundfrom 10-week support.",
"03/19/12","SAVE","14","About10%over 17.58buy point; findsresistancenear 20.","17.58"
"03/19/12","FRAN","12","24%above24.73buy pt; breakout from cup-w/handlebase.","24.73"
"03/19/12","EC","15","29%past46.10buy pointfrom double-bottombase.","46.10"
"03/19/12","MA","16","Extended9% past385.09 buypoint from base.","385.09 "
"03/19/12","MNST","19","22%pastsplit-adjusted48.75buy pointinflatbase.","48.75"
"03/19/12","CSTR","22","8%past57.17buy pointfrom cup within deeperbase.","57.17"
"03/19/12","TSCO","25","Easesto4% above 82.60buypoint from 3-weeks-tight.","82.60"
"03/19/12","CLR","28","Coolinginmild manner; now23%past 73.08buypoint.","73.08"
"03/19/12","HLF","17","11%past63.50trigger afterbreakout from cup base.","63.50"
"03/19/12","NUS","20","14%past51.77buy pointinflatbase. Solid RSline.","51.77"
"03/19/12","V","23","12%past104.30 buypoint; RSline still near high.","104.30 "
"03/19/12","FFIV","26","Cleared3-weeks-tight butalso support at10-weekline.",
"03/19/12","SWKS","29","Solidrebound, trading above moving averagelines.",
"03/19/12","CMG","18","20%past341.38 buypoint; up 13straightweeks.","341.38 "
"03/19/12","SXCI","21","9%over 66.05buy pt;breakout from cup-w/handlebase.","66.05"
"03/19/12","ROST","24","6%past52.63buy pointinthree-weeks-tight pattern.","52.63"
"03/19/12","VAL","27","1%over 47.71buy pointof three-weeks-tightpattern.","47.71"
"03/19/12","SHFL","30","Extendedafter third testof 10-week line.",
"03/19/12","CF","31","Holdsits10-weekline afterbreakout past 192.50struggles.","192.50"
"03/19/12","TIBX","34","Justpast30.04buy ptincup w/handle. Look for highervol.","30.04"
"03/19/12","TDC","37","Extended9% above62.72 buypointafter Feb.9 breakout.","62.72 "
"03/19/12","MELI","40","Findssupportat 10-weekline;7% above 91.55handleentry.","91.55"
"03/19/12","SHOO","43","11%above39.52buy pointfrom breakout inlight volume.","39.52"
"03/19/12","CERN","35","Clearscup's74.49buy pointbut without heaviervolume.","74.49"
"03/19/12","CMI","38","Bounceoff10-weekline enjoyingsolid volume.",
"03/19/12","VMW","41","Retreatsto5% past102.09 cup-with-handleentry.","102.09 "
"03/19/12","ORLY","44","Backsoffafter 8 daysof tighttrading.",
"03/19/12","UA","46","Still8%past an86.97cup-with-handlebuy point.","86.97"
"03/19/12","UBNT","49","Gets nicesupport at 10-weekline, but volumecooling.",
"03/19/12","SIMO","47","Tryingtorebound, but lagsmarketwith 33%correction.",
"03/19/12","TDG","33","Just4%below 119.51buy pointonbelow averagevolume.","119.51"
"03/19/12","SSW","36","Maybe forminghandlew/20.08 buypt butdeep base.","20.08 "
"03/19/12","FOSL","39","Extended13%past 110.84early entry;resistancenear 130.","110.84"
"03/19/12","DLTR","42","Extended8% past86.74three-weeks-tight buypoint.","86.74"
"03/19/12","PNRA","45","11%past145.56 buypoint fromflat base; RSline nearhigh.","145.56 "
"03/19/12","NTES","48","Extended7% pastcup-with-handle's51.14 buypoint.","51.14 "
"03/19/12","SLXP","50","3%past50.38buy pointfrom a flatbase.","50.38"
"03/21/11","RVBD","1","Slippinginfightto hold support at10-weekline.",
"03/21/11","BIDU","4","Workingonflatbase, butit'sa late-stagepattern.",
"03/21/11","NFLX","7","Retakes10-weekline instrong volume;15%off high.",
"03/21/11","APKT","2","Backsoffto 10-weekline aftershowingrailroad tracks.",
"03/21/11","LULU","5","Supportat10-week lineas base-buildingsurvives2-day drop.",
"03/21/11","SLW","8","11%divebelow42.44 buypointtriggers sell rule.","42.44 "
"03/21/11","AGP","3","Constructivetighttrading,but notforminga pattern.",
"03/21/11","PCLN","6","Returnsto 10-weekline inreduced volume;RSline near high.",
"03/21/11","OPEN","9","Formingbasewith support at10-week moving average.",
"03/21/11","SWKS","10","Four-week,18%declineleaves shareswell below10-week.",
"03/21/11","GPOR","13","Popstonew high onbig volumebounce off10-weekline.",
"03/21/11","ARUN","11","Newshighsin strongvolume,softer trade onpullbacks.",
"03/21/11","EBIX","14","Holds25.97buypoint; RS linemoves tonew highs.","25.97"
"03/21/11","FOSL","12","Foundsupport at its10-weekline with strong volume.",
"03/21/11","CMG","15","Supportnear10-wk line asitshapespotentialbase onbase.",
"03/21/11","SINA","16","Gets supportat 10-wkavgafter sharp pullbackfrom new high.",
"03/21/11","PPO","19","Reboundsfrom 10-wkavgafter pullbackfrom new high.",
"03/21/11","ARMH","22","Breaches10-week lineafter showingsigns ofa climax top.",
"03/21/11","BTU","25","Up5% past67 buypointfrom cup with high handle.",
"03/21/11","INFA","28","Infifthweek of possibleflat base,would bestage two.",
"03/21/11","HS","17","Startingto teeter from afour-weeks-tightpattern.",
"03/21/11","ALTR","20","Falls8%from 42.09trigger, 10-weekline starts tofail.","42.09"
"03/21/11","GEOI","23","Reboundssomewhataftersharp plunge inheavy volume.",
"03/21/11","SOHU","26","Slipsunder 10-weekmoving averageas itconsolidates.",
"03/21/11","JOYG","29","Strugglesto hold 10-weeksupport inpossiblebase.",
"03/21/11","CXO","18","Supportat10-week aftermakingnew highs inlighttrade.",
"03/21/11","NVO","21","Testing10-weekline for secondtime since Dec.10 breakout.",
"03/21/11","NETL","24","Tryingtohold above 10-weekline asvolume picksup.",
"03/21/11","DECK","27","Breakoutpast 87.98buypt. fails.Now below10-weekline.","87.98"
"03/21/11","ACOM","30","Hasgivenup mostgains since risingtonew highspast 30.70.","30.70"
"03/21/11","TPX","31","Etches3-weeks-tight; alsonear high after3rd testof 10-week.",
"03/21/11","IDCC","34","Afterthree ugly weeks,declineslows inthispastweek.",
"03/21/11","EZPW","37","Slipsbelow10-week linewhile workingonconsolidation.",
"03/21/11","ST","40","Upsidereversal for week,regains 10-weekline.",
"03/21/11","SRCL","43","Formingpossible base-on-baseamidtighttrading.",
"03/21/11","FCS","47","Meetingresistanceat10-week moving average.",
"03/21/11","CLF","32","Rebounding,but 10-weekline isnowresistance.",
"03/21/11","TZOO","35","Thinissue regains10-weekline asit new baseforms.",
"03/21/11","PRGO","38","Testing10-weekline insoft turnover.",
"03/21/11","NOG","41","Slightlybreaches 10-weekline onincreasing volume.",
"03/21/11","VPHM","44","Clears18.80buy pointfrom cup-shapedbase with bigvolume.","18.80"
"03/21/11","PNRA","46","Stillwellpast 106.97buy pointfrom consolidation.","106.97"
"03/21/11","TSL","49","Recentbreakout fails; stock tryingto retake 10-weekline.",
"03/21/11","TSCO","33","Nearhigh after10-wktest; multipletests since breakout.",
"03/21/11","OTEX","36","Gets supportat 10-weekline asit eases5%from recenthigh.",
"03/21/11","EW","39","Easesfrom resistancenear 90, butsupport at 10-weekline.",
"03/21/11","NTES","42","10-weekpullback, backnear 43.76buy pointclearedFeb. 10.","43.76"
"03/21/11","ARW","45","Infourthweek of consolidating; lookslike squarebox.",
"03/21/11","BWA","48","Testingfor support at10-weekline.",
"03/21/11","CTSH","50","Knifesbelow 10-weekline, strugglesto rallyback.",
"03/22/10","AIXG","1","Forming base after an already huge advance in 2009.",
"03/22/10","BIDU","5","Makes downward reversal in high volume.",
"03/22/10","CAGC","9","Steep incline becomes steep, volatile fall.",
"03/22/10","CLW","2","Thin stock builds double-bottom base with nice accumulation.",
"03/22/10","ISRG","6","Possible three-weeks-tight pattern unravels Friday.",
"03/22/10","MED","3","Building right side of absurdly deep cup.",
"03/22/10","BUCY","7","Cup with handle appears with buy point at 67.77.","67.77"
"03/22/10","VIT","4","Falls 7% from 21.93 buy point after March 5 breakout.","21.93 "
"03/22/10","CAAS","8","Coming back strong, but 48% cup is too deep.",
"03/22/10","JCG","13","6% below 46.73 buy point from cup without handle.","46.73 "
"03/22/10","LZ","17","Forms 3-weeks-tight pattern after break above short cup.",
"03/22/10","GMCR","10","Up 6% from 88.75 buy point in base-on-base.","88.75 "
"03/22/10","DECK","14","18% past 113.20 buy point from cup-shaped base.","113.20 "
"03/22/10","PRGO","18","Near high, settles into three-weeks tight add on buy point.",
"03/22/10","PCLN","11","3% past 231.59 buy point after cup-base breakout.","231.59 "
"03/22/10","OSIP","15","Shoots up to five-year high on Astellas' takeover offer.",
"03/22/10","FFIV","19","Remains extended after suffering downward reversal.",
"03/22/10","SIRO","12","Trading tightly but not quite a three-weeks-tight.",
"03/22/10","TSTC","16","Flawed base; tries to regain 10-week and reverses lower.",
"03/22/10","WIT","20","Now below 24.09 buy pt from cup without handle.","24.09 "
"03/22/10","BGH","23","Stages steady climb away from 10-week pullback.",
"03/22/10","CTSH","27","6% above 48.44 buy point in cup-with-handle base.","48.44 "
"03/22/10","BCSI","31","Moving sideways. Just 1% past 31.15 buy pt from cup base.","31.15 "
"03/22/10","CTRP","35","Light-vol dip to 10-wk; may be start of handle in cup w/hndle.",
"03/22/10","EL","39","25% past 50.67 buy point from flat-base breakout.","50.67 "
"03/22/10","AMED","24","Forming flat base past 2 mos w/62.19 buy pt, 10-wk support.","62.19 "
"03/22/10","VRX","28","7% past 37.67 buy point from 3-weeks-tight pattern.","37.67 "
"03/22/10","LULU","32","Slips to within 1% of 33.05 buy point after soft breakout.","33.05 "
"03/22/10","EZPW","36","Eases from high, still 9% above 18.80 buy point.","18.80 "
"03/22/10","LOPE","40","28% past 19.88 buy pt in year-long cup w/handle base.","19.88 "
"03/22/10","TSL","21","Posts third, huge distribution spike in 3-mo. consolidation.",
"03/22/10","HRBN","25","Down 14% from 24.85 buy pt in cup without handle.","24.85 "
"03/22/10","NIHD","29","Slips, but still 3% past 39.05 buy pt from base-on-base.","39.05 "
"03/22/10","HMIN","33","Low handle dips, but within 15% allowance. Buy point 37.09.","37.09"
"03/22/10","PWRD","37","Could be forming double-bottom with potential 44.73 entry.","44.73 "
"03/22/10","MELI","22","Deep base continues to develop after correcting 36%.",
"03/22/10","ATHR","26","Pulls back to 10-week line after clearing 37.93 buy point.","37.93 "
"03/22/10","NTY","30","Backs away from high, but holds weel above 10-week support.",
"03/22/10","CRM","34","A shade past 75.63 buy point, but distribution-heavy base.","75.63 "
"03/22/10","TUP","38","May be forming handle in double-bottom with 49.32 buy point.","49.32 "
"03/22/10","KMGB","44","Sketching double-bottom base with potential 17 buy point.",
"03/22/10","HLF","48","In cup base with 45.28 buy point. Part of base on base.","45.28 "
"03/22/10","CPLA","41","16% past 77.88 buy pt; breakout from base in big cup w/hndl.","77.88 "
"03/22/10","GES","45","Just 1% past 46.49 buy point from cup base.","46.49 "
"03/22/10","PAY","49","Retreating, but still 9% past 19.52 square-box buy point.","19.52 "
"03/22/10","BIG","43","Up 17% from 31.49 buy point from square-box base.","31.49 "
"03/22/10","DBRN","47","Stock retraces back to 25.84 buy point from flat base.","25.84 "
"03/22/10","NFLX","42","14% past 61.75 buy point after breaking out on Jan. 28.","61.75 "
"03/22/10","AFL","46","At 17-month high on light volume after clearing flawed base.",
"03/22/10","APKT","50","Action takes a breather after fast run up.",
"03/23/09","STAR","1","Still 8% past 15.10 buy pt, but big-volume drop is damaging.","15.10 "
"03/23/09","ESI","5","Meandering between 10- and 40-week moving averages.",
"03/23/09","DMND","9","May be forming base within a larger consolidation.",
"03/23/09","TNDM","2","5% past 21.10 buy point from 10-week pullback.","21.10 "
"03/23/09","NFLX","6","7% extended from 38.93 buy point; eases off high.","38.93 "
"03/23/09","APEI","3","Forming right side of sloppy base; big accumulation surge.",
"03/23/09","SVR","7","Push up from its 10-week line lacks any special volume.",
"03/23/09","LFT","4","Could be a high handle in the making.",
"03/23/09","INT","8","Back around 10-week line as it forms new base.",
"03/23/09","SXCI","13","Support in 2nd pullback to 10-week since Dec. breakout.",
"03/23/09","CERN","17","Makes strong gain back above 40-week; still basing.",
"03/23/09","NTES","10","Clears left side buy point of 23.02, then recants.","23.02"
"03/23/09","CACC","14","Thinly traded stock meets resistance at 24.",
"03/23/09","PETS","18","Tight action as base formed its apparent bottom is a plus.",
"03/23/09","HMSY","11","Yet another 10-week test, this one in high volume.",
"03/23/09","GMCR","15","10% above 42.99 buy point after deep-handle breakout.","42.99 "
"03/23/09","SPH","19","Trying to retake 10-week moving avg as cup takes shape.",
"03/23/09","NVEC","12","Sputters, chokes after trying to clear deep handle.",
"03/23/09","VPRT","16","Clears resistance around 25; still far from 52-week high.",
"03/23/09","NCIT","20","Reclaims 10-week line as it works on a new base.",
"03/23/09","ENI","24","Easing after clearing flat base in larger consolidation.",
"03/23/09","TDG","28","Struggling to hold at 10- and 40-wk avgs as it forms base.",
"03/23/09","PNRA","32","Could be forming handle in volatile pattern.",
"03/23/09","SY","36","Clears handle in deep base. Strong relative strength.",
"03/23/09","ALGT","40","Pulls back on light volume. Also found support at 10-wk avg.",
"03/23/09","OTEX","21","Old handle tries to become new base -- now in sixth week.",
"03/23/09","QSII","25","Hovers just below cup's left-side high; needs volume fix.",
"03/23/09","NSH","29","Finds support at 40-week line but volume is light.",
"03/23/09","ARO","33","Tries, but fails to hurdle resistance at 40-week line.",
"03/23/09","TNH","37","Forming handle in double-bottom base w/139.10 buy pt.","139.10 "
"03/23/09","THOR","26","Posts second week of gains en route out of 2-mo. correction.",
"03/23/09","BMC","30","Surges up from flat base that formed below 40-week line.",
"03/23/09","CFL","34","Surges above 10-wk avg; could be forming handle in base.",
"03/23/09","WHG","38","Clambers above 40-week moving average, but volume is low.",
"03/23/09","BWLD","23","Finding support at key averages as it builds rt. side of base.",
"03/23/09","CPSI","27","5% past 29.03 buy point from sloppy, choppy base.","29.03 "
"03/23/09","EPB","31","Pulls back after head-fake breakout from immature cup.",
"03/23/09","SXL","35","Forming possible base with potential 56.10 buy pt.","56.10 "
"03/23/09","EMS","39","Rebound efforts stalling near 40-week moving average.",
"03/23/09","EW","44","Working on cup base. But pattern is V-shaped.",
"03/23/09","BIIB","48","In sixth week of cup base; deep below 52-week high.",
"03/23/09","AEM","41","Formed eight-week base within larger consolidation.",
"03/23/09","AZO","45","Reversing from new peak. Still 10% past 145.87 buy point.","145.87 "
"03/23/09","PZZA","49","May be etching handle in deep base; retakes 200-day line.",
"03/23/09","TWGP","43","Forming double-bottom base with potential 27.75 buy point.","27.75 "
"03/23/09","EOC","47","Lingering below its 40-week line on lackluster trade.",
"03/23/09","SUR","42","Thin stock forming potential double-bottom base.",
"03/23/09","LINC","46","Shoots to near three-year highs after bounce off 10-wk avg.",
"03/23/09","SNDA","22","Pulls back within 1% of 33.70 cup-with-handle buy point.","33.70 "
"03/23/09","JOSB","50","Forming right side of deep base w/ 40-wk support.",
"03/24/14","UBNT","1","Reclaims48.10entry;now extended14%above buypoint.","48.10"
"03/24/14","ACT","4","26%past166.42 entryin3-weeks-tight; take profits.","166.42 "
"03/24/14","SAVE","7","Extendedafter strong reboundoff 10-weekmoving average.",
"03/24/14","QIHU","2","Extended12%above 96.35entry;was up asmuch as29%.","96.35"
"03/24/14","THRM","5","Extended,up 35%after reclaiming25.19buy point.","25.19"
"03/24/14","UA","8","Extendedpastfollow-on buy pointof 112.75.","112.75"
"03/24/14","FB","3","Extended22%past 54.93buypoint; inprofit-taking zone.","54.93"
"03/24/14","ANIK","6","Inprofit-takingzone from 27.90entryof Oct. breakout.","27.90"
"03/24/14","MTW","9","Extended,at new highafter big reboundoff 10-weekline.",
"03/24/14","ALXN","10","Undercuts10-week avg.inbiggestdrop since Oct. 2012.",
"03/24/14","DL","13","Plungesbelow10-weekline inheavytrade, a sell signal.",
"03/24/14","NQ","11","Scalesrightside of71%-deep correction;nota properbase.",
"03/24/14","ATHM","14","Newissueextended aftersolid reboundfrom failed breakout.",
"03/24/14","KS","12","Gettingsupport inpullback to10-week moving average.",
"03/24/14","KORS","15","Formingflatbase with101.14 entry.","101.14 "
"03/24/14","GMCR","16","Stillextendedfrom big bounceoff 10-weekline.",
"03/24/14","WYNN","19","Poisedfor 2nd testof 10-weekline.Low volume inretreat.",
"03/24/14","SLXP","22","Stillextendedpast101.92 3-weeks-tight entry.","101.92 "
"03/24/14","AMBA","25","Hitsresistanceat 10-weekline aslate-stagebase forms.",
"03/24/14","WX","28","Breakoutover 38.78stumbles; strugglesto hold 10-wkline.","38.78"
"03/24/14","VRX","17","1stbreakof 10-weekline since breakout but volumeaverage.",
"03/24/14","URI","20","Newhighs butextended afterbounceoff 10-weekline.",
"03/24/14","PCLN","23","Testing10-weekline afterbreakout from late-stage base.",
"03/24/14","CMG","26","Atnewhigh and 9%past 561.61buy point.","561.61"
"03/24/14","SWKS","29","31%past28.71cup w/ handleentry;takeprofits.","28.71"
"03/24/14","MANH","18","Comesoffhighin big trade;duefor athird stage base.",
"03/24/14","JAZZ","21","Losesgripon10-weekline in4th week of consolidation.",
"03/24/14","GNRC","24","5%past57.78buy pointafter sidewaysaction.","57.78"
"03/24/14","WWWW","27","Extended9% past33.80buy pointbut trading tightly.","33.80"
"03/24/14","ARRS","30","6%above 27.93three-weeks-tightbuy point.","27.93"
"03/24/14","PKG","31","Gives up73.41three-weeks-tight entry;nears10-week line.","73.41"
"03/24/14","SBNY","34","Slipsbelow129.93 entry aftertepid breakout.","129.93 "
"03/24/14","GMED","37","Extendedafter 3-weeks-tightbreakout over 24.05.","24.05"
"03/24/14","GRFS","40","Inbuy rangefrom secondrebound off10-week line.",
"03/24/14","ADS","43","Nearhighsbut extended afterseveralvisits to10-wk line.",
"03/24/14","ALGN","47","Nonew entry yet;still workingonbase's bottom.",
"03/24/14","BWLD","32","3%above 152.01cup-with-handle buypoint.","152.01"
"03/24/14","WDR","35","10%past66.19cup entry afterregainingbuy point.","66.19"
"03/24/14","RXN","38","Retakes29.39flat-baseentry after supportat 10-weekline.","29.39"
"03/24/14","VMW","41","Extended7% past101.62 buypoint from flatbase.","101.62 "
"03/24/14","ALK","44","Extended15%past 78.63flat-basebuy point.","78.63"
"03/24/14","MYGN","46","Revisits34 cup-with-handleentry;was up 15%.",
"03/24/14","FLT","49","Slips3% below124.06 entry;support at10-weekline.","124.06 "
"03/24/14","BIIB","33","Fallsbelow10-weekline inheaviestvol. of itsadvance.",
"03/24/14","CAR","36","Extendedafter heavy-volume bounceoff10-weekline inFeb.",
"03/24/14","LVS","39","Findingsupport againat its10-week line.",
"03/24/14","LPLA","42","Surgesto newhigh afterlatest testof 10-weekline.",
"03/24/14","SYNA","45","Findingsupport insecond testof 10-weekline.",
"03/24/14","HOLI","48","Findssupportat 10-weekline;near 19.53buy point.","19.53"
"03/24/14","OPEN","50","Justbelow84.35buy pointof double-bottombase.","84.35"
"03/25/13","FLT","1","Breakspast 73buy pointinthree-weeks-tightpattern.",
"03/25/13","CELG","4","Addsthree-weeks-tightpattern with potential115.54entry","115.54"
"03/25/13","ALK","7","Well-extendedpast47.93 entryinfour-weeks-tightpattern.","47.93 "
"03/25/13","GMCR","2","Extendedfrom bounceoff 10-week;heap ofoverhead supply.",
"03/25/13","MDCO","5","Findssupportinpullback to 10-weekmoving average.",
"03/25/13","WLK","8","Near94.16buy pointof odd flatbase.","94.16"
"03/25/13","LL","3","Sketchesthree-weeks-tight patternwith 68.38buy point.","68.38"
"03/25/13","AIRM","6","Extendedafter solidrebound offrising10-weekaverage.",
"03/25/13","GRFS","9","Seessome volume,reversal, onpullback totest support.",
"03/25/13","OCN","10","Fallsasmuch as13%below39.35 buypointin stage3 base.","39.35 "
"03/25/13","SLCA","13","Inbuyingrange afterstrong support at10-week line.",
"03/25/13","HTZ","11","Tightadvance,extended, aftersupport at 10-weekline.",
"03/25/13","SBGI","14","Digestsbig gains by pulling offhighs inlightervolume.",
"03/25/13","AWAY","12","20%above27.57buy pointfrom five-month cup base.","27.57"
"03/25/13","CAR","15","Easesto9% past25.07buy pointin3-weeks-tight pattern.","25.07"
"03/25/13","POL","16","Successfulrebound from2nd testof 10-week sincebreakout.",
"03/25/13","TRIP","19","Holdingtight, butextended reboundoff 10-weekline.",
"03/25/13","OPEN","22","Offhighs,but still 9%past 56.05buypoint inflatbase.","56.05"
"03/25/13","ABG","25","Reboundsafterit forms afaulty cup base.",
"03/25/13","SSYS","28","Nearlyretakes 50-dayline; formingbase nexttobase.",
"03/25/13","CVLT","17","3%past79.63buy pointafter trimminggains.","79.63"
"03/25/13","XXIA","20","Reboundsinweak tradefrom support at 10-weekline.",
"03/25/13","MX","23","Gets supportat 10-weekline afterpullback from new high.",
"03/25/13","PRLB","26","Supportat10-week line.Correctiontoo deep for flatbase.",
"03/25/13","WDR","29","28%past33.64buy ptbut inbuyrange from 10-wkrebound.","33.64"
"03/25/13","VRX","18","Reboundstonew high afterlight-volume dip to10-week line.",
"03/25/13","EVR","21","Stillclimbingafter Dec.14 breakout.No sell signals.",
"03/25/13","MPC","24","Wellextended fromJanuary bounceoff10-week line.",
"03/25/13","RGR","27","Loses10-weekline, but still 6%above old49.55buy point.","49.55"
"03/25/13","WOR","30","Inbuyingrange from reboundoff 10-weekline.",
"03/25/13","BLK","31","Justoffrecord high afterbouncefrom 10-weekline area.",
"03/25/13","HCA","34","Shapessecond-stage basewith potentialbuy pointat39.70.","39.70"
"03/25/13","CVI","37","Pierces10-weekline, well below56.73three-weeks-tight entry.","56.73"
"03/25/13","KR","40","19%past27.21flat-baseentry despite low-volumebreakout.","27.21"
"03/25/13","CTB","43","Dipsto10-week moving averageafterhitting new high.",
"03/25/13","JAH","32","17%over 37.28buypoint; breakout from flatbase.","37.28"
"03/25/13","GNRC","35","Livingbelow 10-weekline afterbasebreakout fails.",
"03/25/13","ARUN","38","Inbuy range; 4%past24.25 entryincup-with-handle base.","24.25 "
"03/25/13","AXLL","41","Extendedafter finding supportat 10-weekline near51.",
"03/25/13","PKG","44","Inbuy rangefrom rebound off10-weekline.Trading tight.",
"03/25/13","KSU","46","Extendedfrom December breakout from shallowcup at84.08.","84.08"
"03/25/13","SWI","49","Retests57.87 buypointfrom flatbase; pattern isstage four.","57.87 "
"03/25/13","PSX","47","3%pastfour-weeks-tightentry at 65.48.","65.48"
"03/25/13","TUP","33","Findssupportafter touching 10-weekline inpullback.",
"03/25/13","UHS","36","7%pastits 58.67buy pointfrom four-weeks-tightpattern.","58.67"
"03/25/13","EMN","39","Formingflatbase with75.28buy point.","75.28"
