"Symbol","Date","Buytext","Buypoint","Buypeak","Open","High","Low","Close","Volume","50dayVol"
"SHOO","01/31/2012","Pokesabove39.52 buyptof cup within largerconsolidation.","39.52","41.4960","40.84","41.862","40.7531","41.14","611716","361688"
"SHOO","02/08/2012","3%above 39.52buy ptof cupwithin largerconsolidation.","39.52","41.4960","40.93","41.28","40.8801","41.01","641484","359246"
"SHW","01/31/2013","Nearly4% past159.90 buypoint inbase-on-basepattern.","159.9","167.895","160.25","164.74","159.81","162.43","1827920","944895"
"SIRO","12/02/2009","Shapes high handle with 31.10 buy pt. on cup base.","31.1","32.655","30.13","31.99","29.6","31.75","658432","186653"
"SLXP","02/18/2014","Justbelow101.92 3-weeks-tight,follow-on buy point.","101.92","107.0160","102.7","108.87","102.0703","103.14","2915281","731369"
"SLXP","02/19/2014","Justbelow101.92 3-weeks-tight,follow-on buy point.","101.92","107.0160","102.86","105.37","101.3","103.33","1384323","777835"
"SMTC","06/03/2013","Somewild trading,but holds3% above 35.60cup buypoint.","35.6","37.380","36.57","36.97","36.26","36.84","975420","527167"
"SOA","10/26/2010","Near 18.17 buy point in cup-with-handle base.","18.17","19.0785","18","18.56","17.63","18.44","2209419","1311964"
"SODA","12/17/2012","Stocksketchesa sketchy handle;43.10potential buypoint.","43.1","45.255","40.58","43.81","40.58","43.54","2189813","786583"
"SODA","12/18/2012","Stocksketchesa sketchy handle;43.10potential buypoint.","43.1","45.255","43.55","45.15","43.53","44.11","1710120","820831"
"SODA","02/14/2013","Dropstotest support aftertopping 50.083-weeks-tight entry.","50.083","52.58715","50.55","52.67","50.3601","51.57","1886647","1176523"
"SOHU","04/27/2011","Three-weeks-tightpatternappears with buypoint at102.52.","102.52","107.6460","103.11","107.85","100","106.16","4326219","1657499"
"SOHU","04/28/2011","Three-weeks-tightpatternappears with buypoint at102.52.","102.52","107.6460","105.58","109.3699","104.27","106.24","2911755","1727305"
"SPTN","10/22/2008","Near the 25.86 buy point of three-month pattern.","25.86","27.1530","25.6","26.9","25.6","26","519522","226105"
"SPTN","10/30/2008","Near the 25.86 buy point of three-month pattern.","25.86","27.1530","23.26","26.15","22.77","26.1","682842","255063"
"SRCL","02/07/2011","Jumps off 10-week line, clears square box at 82.31.","82.31","86.4255","84.1","85.78","84.01","84.93","829146","531902"
"SSNC","11/04/2013","Formingnew basewith potential40.04entry.","40.04","42.0420","39.7","41.75","39.5215","41.67","860623","424291"
"SSYS","11/05/2013","Volumesoft as stock clears113.04 entryinlatestage base.","113.04","118.6920","115.67","120.25","115.66","118.39","1725209","1148061"
"SSYS","11/07/2013","Volumesoft as stock clears113.04 entryinlatestage base.","113.04","118.6920","119.2","124.16","117.4","118.22","2919754","1166350"
"STZ","06/19/2014","Shapescup with handlewith 84.58buypoint.","84.58","88.8090","86.61","87.589","86.36","86.53","1775239","1167554"
"STZ","06/20/2014","Shapescup with handlewith 84.58buypoint.","84.58","88.8090","86.84","87.64","86.7","87.48","1896875","1152669"
"STZ","06/23/2014","3%above 84.58buy pointafterclearingcup w/handle.","84.58","88.8090","87.86","88.5","87.2501","88.1","1599592","1066207"
"STZ","06/25/2014","3%above 84.58buy pointafterclearingcup w/handle.","84.58","88.8090","87.75","88.6","87.3","88.55","1578594","1029370"
"SWI","02/03/2012","Maybe forminga cup-without-handlebasewith a33.78 entry","33.78","35.4690","33.36","35.35","33.25","34.65","2734596","943587"
"SWI","03/26/2012","Formssquare boxbase with39.85 buypoint.","39.85","41.8425","39.51","42.22","39.51","41.07","2670116","1144999"
"SWKS","06/25/2010","5% over 16.95 buy pt in short cup w/handle base.","16.95","17.7975","17.15","17.94","16.95","17.6","28558388","6693787"
"SWKS","07/26/2010","2% past 18.44 trigger in slightly high handle.","18.44","19.3620","18.7","19.24","18.66","19.18","28964128","6809148"
"TAL","03/01/2012","12%past35.01cup-with-handlebuy point; onthin side.","35.01","36.7605","36.24","36.7","36.05","36.63","1012377","380477"
"TCBI","06/19/2012","Reversesafterclearingbase-on-base entryat 39.41.","39.41","41.3805","38.95","40.7","38.95","40","857526","377496"
"TCBI","06/20/2012","Reversesafterclearingbase-on-base entryat 39.41.","39.41","41.3805","40.71","41.14","40.05","41.06","879913","390738"
"TCBI","06/22/2012","Reversesafterclearingbase-on-base entryat 39.41.","39.41","41.3805","39.15","39.99","38.02","39.61","1291616","410642"
"TCBI","08/31/2012","Eases2%below 44.70buypoint inthree-weeks-tightpattern.","44.7","46.935","45.76","46.17","45.4","46.05","703492","415161"
"TDC","09/11/2012","Rises9% past73.84double-bottomentry;volume dries up.","73.84","77.5320","74.58","75.61","74.42","75.15","2839434","1662160"
"TDC","09/14/2012","Rises9% past73.84double-bottomentry;volume dries up.","73.84","77.5320","75.25","75.956","74.53","75.25","3019257","1701067"
"TDG","09/16/2011","5%below91.33handle buypoint; baseis V-shaped.","91.33","95.8965","90.05","92.59","89.95","92.34","595660","394913"
"TDG","09/27/2012","6%above 136.44buy pointfrom six-week flatbase.","136.44","143.2620","142.16","142.86","138.25","141.08","1004357","390621"
"TDG","09/28/2012","6%above 136.44buy pointfrom six-week flatbase.","136.44","143.2620","140.29","142.36","138.88","141.88","689977","406298"
"TFM","07/05/2012","Backabove its10-weekline. Stillbelowprior 55.07entry.","55.07","57.8235","55.76","57.69","55.15","57.29","1307138","848628"
"TFM","07/31/2012","Maybe formingdouble-bottom basewith 57.96buy point.","57.96","60.8580","55.72","61.08","55.7","58.91","1875594","968400"
"TRMB","02/05/2013","Struggles,dips after tryingtoclear 63.423-weeks-tightentry.","63.423","66.59415","62.59","64.06","62.57","63.5","1046030","627982"
"TSCO","10/20/2011","Formsfirst-stage cup withhandlewith 70.20buy point.","70.2","73.710","68.98","72.58","67.96","71.55","3088536","706352"
"TSCO","10/21/2011","Formsfirst-stage cup withhandlewith 70.20buy point.","70.2","73.710","71.71","73.53","71.71","73.45","1523834","754905"
"TSCO","11/01/2011","1%above 70.20buy pointafterbreakout onOct. 20.","70.2","73.710","69.36","71.92","66.15","71","1555072","784060"
"TSCO","02/07/2012","Formsfour-weeks-tightpattern with 82.60trigger.","82.6","86.730","82.35","87.13","82.08","85.09","1904981","712908"
"TSRA","10/19/2009","Easing, now 2% past 29.35 buy point in cup-with-handle.","29.35","30.8175","30.22","31","30.09","30.2","2370380","698584"
"TTM","01/24/2013","Extended13%past 27.10buypoint from deepcup with handle.","27.1","28.455","27.42","27.74","27.29","27.5","2875270","1334459"
"TUP","04/28/2010","Up 5% from 50.73 buy point from second handle.","50.73","53.2665","52.06","52.12","50.76","51.78","1265718","704110"
"TUP","03/13/2013","Rises2% from 77.94buypoint from3-weeks-tight.","77.94","81.8370","77.65","78.57","77.2701","78.02","891605","556711"
"UA","12/11/2013","Maybe buildingcup with handlewith83.92 buypoint.","83.92","88.1160","83.26","85.652","83.24","84.46","1789671","1123202"
"UA","12/20/2013","Sluggishaction after cup w/handlebreakout over 83.92.","83.92","88.1160","86.15","87.92","85.81","86.06","2373253","1057727"
"UBNT","03/11/2014","1%above 48.10entryafter support at10-weekline.","48.1","50.505","48.46","50.6","47.98","49.18","2059211","1124524"
"URI","01/22/2014","3%past78.47entry from 3-weeks-tightpattern.","78.47","82.3935","82.46","82.46","80.75","81.59","2106578","1216954"
"V","09/20/2011","Near90.93buy pt;breakout from 10-wk cup baseonhigh vol.","90.93","95.4765","90.4","94.75","90.26","92.92","8998659","5765190"
"V","09/21/2012","1%above 132.68buy pointinflat base.","132.68","139.3140","135.3","135.95","134.9","134.95","6925434","2886379"
"VIT","08/14/2009","Below 15.60 buy pt from pullback; weekly downside reversal.","15.6","16.380","15.8","16.55","15.5","16.25","1430219","540804"
"VIT","01/04/2010","Slips below 19.90 buy point of handle on light trade.","19.9","20.895","19.77","20.5","19.27","20.04","775149","489787"
"VIT","03/08/2010","Just above 21.93 buy point from cup without handle.","21.93","23.0265","22.9","23.25","22.57","22.93","2139599","560733"
"VIT","03/25/2010","Falls 7% from 21.93 buy point after March 5 breakout.","21.93","23.0265","21.46","22.6","21.4","22.37","1082653","605172"
"VRSK","05/02/2012","Lastentryat 47.63from three-weeks-tightpattern.","47.63","50.0115","47.6","49.375","47.4","49.17","1649191","817537"
"VRX","03/10/2010","2% past 37.67 buy point from 3-weeks-tight pattern.","37.67","39.5535","38.77","39.66","38.73","39.45","1176581","694303"
"VRX","06/22/2010","Seven weeks into flat base with 50.50 buy point.","50.5","53.025","47.12","51","46.75","50.95","5890697","1654812"
"VRX","06/23/2010","Seven weeks into flat base with 50.50 buy point.","50.5","53.025","50.87","51.75","49.64","51.03","2830069","1762327"
"VRX","12/20/2012","Slipsafter clearingdouble-bottombuy pointof 59.10.","59.1","62.055","59.92","61.1","59.81","61.03","2515344","1276957"
"VRX","01/03/2013","Backnear 59.10buy pointfrom double-bottom.","59.1","62.055","61.18","61.6","60.7","61.07","2584587","1418424"
"WAB","06/20/2014","Cupbaseforms with 82.52buypoint.","82.52","86.6460","82.57","83.77","82.28","83.28","2073050","437142"
"WMS","07/23/2009","Shaping a base with a possible buy point at 35.60.","35.6","37.380","35.24","37.2","35.14","36.6","3126980","1381241"
"WPI","09/28/2012","Hasn'tgainedmuch since clearing81.10in4-weeks-tight.","81.1","85.155","83.5","86.07","83.35","85.15","1795593","1040570"
"WPI","12/21/2012","Formsa flatbasewith 90.10buy point.","90.1","94.605","89.29","91.16","88.92","90.85","1638026","738588"
"WRLD","06/25/2010","Rough double bottom buy pt of 40.02 is passed without vol.","40.02","42.0210","39.7","40.39","39.44","40.33","540939","306115"
"WWWW","06/20/2013","Shapesthree-weeks-tight patternwith 22.94buy point.","22.94","24.0870","22.35","23.13","21.59","22.95","724448","377006"
"WX","02/24/2014","Paresgainsafter clearingcup basewith 38.79buy point.","38.79","40.7295","39","40.61","38.98","39.85","1411112","671872"
"WX","03/05/2014","Stumblesafter clearingcup basewith 38.79buy point.","38.79","40.7295","39.43","39.485","38.61","39.33","1132579","699286"
